Id,Name,Duration,Type,Places,Budget,ListPlaces,Reference,Description
1,STB Special Tours,7,LONG TOUR,36,HIGH,underwater world - Dolphin Lagoon - Butterfly_insect_kingdom - Tiger Sky Tower - cable car-sentosa - CHIJMES - Feng Shui tour - Night Safari - World's largest Fountain - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - shopping little india - Shopping Orchard - Duck Tour - Singapore Zoo - Singapore Botanic Gardens - Zouk - Clarke Quay - A Kampong Glam Walk - geylang serai - Sultan Mosque - Arab Street - Parliament House - supreme court and city hall - Thian Hock Keng Temple - Bumboat river - Jurong Bird Park - esplanade - Fish Reflexology - Lau Pa Sat - Katong antique house - Katong-Joo chiat - Peranakan museum - ,Singapore Travel Agent Book,Day1:Clarke Quay-Bumboat River-shopping little india-Shopping Orchard Day2:Singapore Zoo-Singapore Botanic Gardens-Zouk-Clarke Quay Day3:geylang serai-Sultan Mosque-Parliament House-supreme court and city hall Day4:Thian Hock Keng Temple-Bumboat river-Jurong Bird Park-esplanadeDay5:Lau Pa Sat-Katong antique house-Katong Day6:Joo chiat-Peranakan museum-Fish Reflexology day7:Duck Tour-A Kampong Glam Walk-Arab Street,
2,Culinary Heritage Tour,5,LONG TOUR,14,MEDIUM,foodwalk-spicy-food - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Shopping Little India - geylang serai - ,Singapore Travel Agent Book,Day1:Lau Pa Sat-Katong antique house-Joo chiat-Peranakan museum Day2:Kampong Glam Walk-geylang serai-Sultan Mosque-Arab Street Day3:Parliament House-supreme court and city hall-Thian Hock Keng Temple-Jurong Bird Park Day4:esplanade-Fish Reflexology-Chinatown Night Market-Trishaw-Gem stone factory-Art Retreat museum Day5:Bumboat River-Shopping little india-Shopping Orchard-Duck Tour,
3,Honeymoon in Singapore,4,LONG TOUR,14,MEDIUM,Merlion Park - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Mount Faber - Gem Stone Factory - The DHL Balloon - cable car-sentosa - Underwater World - Merlion - Causeway Bridge - Night Safari - ,http://www.joy-travels.com/outbound.asp?p=4%20Days/3%20Nights%20Honeymoon%20in%20Singapore,Day1:Causeway Bridge-Night Safari-Singapore Zoo-Singapore Botanic Gardens-ZoukKampong Glam Walk Day2:geylang serai-Sultan Mosque-Arab Street-Parliament House supreme court and city hall Day3:Thian Hock Keng Temple-Handicraft center-Cable car-Merlion park-Sentosa Day4:Joo chiat-Peranakan museum-Causeway bridge-Dolphin lagoon- underwater world-Night safari,
4,Pure Singapore 1,3,SHORT TOUR,18,MEDIUM,Merlion Park - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Mount Faber - Gem Stone Factory - Cricket club - Parliament House - Supreme court and city Hall - Thian Hock Keng Temple - Handicraft centre - Jurong Bird park - cable car-sentosa - Underwater World - Merlion - Causeway Bridge - ,http://www.joy-travels.com/outbound.asp?p=Pure%20Singapore,Day1:Handicraft centre-Jurong Bird park-cable car-sentosa-Underwater World-Merlion-Causeway Bridge Day2:Joo chiat-Peranakan museum-Causeway bridge-Dolphin lagoon-underwater world-Night safari Day3: Art Retreat museum-Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea,
5,Pure Singapore 2,3,SHORT TOUR,18,MEDIUM,Merlion Park - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Mount Faber - Gem Stone Factory - Cricket club - Parliament House - Supreme court and city Hall - Thian Hock Keng Temple - Handicraft centre - cable car-sentosa - Underwater World - Merlion - Causeway Bridge - Night Safari - ,http://www.joy-travels.com/outbound.asp?p=Pure%20Singapore,Day1:Handicraft centre-cable car-sentosa-Underwater World-Merlion-Causeway Bridge-Night Safari Day2:Art Retreat museum-Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day3:Handicraft center-Cable car-Merlion park-Sentosa-Clarke Quay.,
6,Pure Singapore 3,3,SHORT TOUR,15,MEDIUM,Merlion Park - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Mount Faber - Gem Stone Factory - Cricket club - Parliament House - Supreme court and city Hall - Thian Hock Keng Temple - Handicraft centre - Jurong Bird park - Singapore Zoo - ,http://www.joy-travels.com/outbound.asp?p=Pure%20Singapore,Day1:Handicraft centre-Jurong Bird park-Singapore Zoo Day2:Thian Hock Keng Temple-Jurong Bird Park-esplanade-Fish Reflexology-Lau Pa Sat Day3:Bumboat River-Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo,
7,Singapore With Star Cruise,6,LONG TOUR,13,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Night Safari - Sunset at Sentosa - Singapore Zoo - star cruise - Shopping Orchard - National Orchid Garden - Jurong Bird Park - ,http://www.joy-travels.com/outbound.asp?p=Singapore%20with%20star%20cruise,Day1:Jurong Bird Park-Bumboat River-Shopping little india Day2:Shopping Orchard-Duck Tour-Singapore Zoo Day3:Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day4:Handicraft center-Cable car-Merlion park-Sentosa Day5:Joo chiat-Peranakan museum-Causeway bridge-Dolphin lagoon- underwater world-Night safari Day6:Kranji War memorial-Kong Meng San Phor Kark See Temple-Orchid Garden-Johore Battery-changi chapel and museum-Suntec city mall,
8,8 Days Singapore to Vacation,8,VERY LONG TOUR,19,HIGH,Night Safari - World's largest Fountain - Shopping in Bugis - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - National Orchid Garden - Little India arcade - Haw Par Villa - Kranji War Memorial - Kong Meng San Phor Kark See Temple - ,http://www.tourvacationstogo.com/singapore_tours.cfm?npid=11242andnhr=1,Day1:Clarke Quay-Bumboat River-National Orchid Garden-Little India arcade Day2:Haw Par Villa-Kranji War Memorial-Kong Meng San Phor Kark See Temple-Haw Par Villa Day3:Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day4:Trishaw-Gem stone factory-Art Retreat museum-Asian civilization museum Day5:Johore Battery-changi chapel and museum-Suntec city mall-Sunset at Sentosa-ChinaTown Heritage Centre-Chinatown Night Market Day6:Clarke Quay-Little india arcade-Haw Par Villa-Kranji War memorial-Kong Meng San Day7:Dolphin lagoon- underwater world-Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day8:Bumboat River-Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens ,
9,8 daYS Thanks Giving in Singapore,8,VERY LONG TOUR,21,HIGH,Night Safari - World's largest Fountain - Shopping in Bugis - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - National Orchid Garden - Little India arcade - Haw Par Villa - Kranji War Memorial - kong meng san phor kark see temple - Johore Battery - changi chapel and museum - ,http://www.tourvacationstogo.com/singapore_tours.cfm?npid=11242andnhr=1,Day1:Clarke Quay-Bumboat River-National Orchid Garden-Little India arcade Day2:Haw Par Villa-Kranji War Memorial-kong meng san phor kark see temple Day3:Johore Battery-changi chapel and museum Day4:Bumboat River-Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens Day5:Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day6:Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day7:ChinaTown Heritage Centre-Chinatown Night Market-Trishaw-Gem stone factory-Art Retreat museum Day8:Orchid Garden-Johore Battery-changi chapel and museum-Suntec city mall-Sunset at Sentosa,
10,Singapore Experience,3,SHORT TOUR,15,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - A Kampong Glam Walk - geylang serai - Sultan Mosque - Arab Street - Bumboat river - Night Safari - Sunset at Sentosa - Jurong Bird Park - Suntec City Mall - ,http://www.travelmasti.com/international/asia/singapore-holiday-packages.htm,Day1:Sunset at Sentosa-Jurong Bird Park-Suntec City Mall Day2:Handicraft center-Cable car-Merlion park-Sentosa-Clarke Quay-Little india arcade-Haw Par Villa Day3:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea,
